id;control;produto;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
21;de_Base Charmat champanha;Base Charmat champanha;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;254.000,00;865.858,00;479.625,00;624.728,00;376.968,00;1.466.259,00;250.280,00;893.364,00;1.746.540,00;1.188.095,00;2.487.939,00;0,00;4.078.766,00;5.418.118,00
22;de_Bebida de uva;Bebida de uva;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.082.700,00;420,00;7.900,00;0,00;0,00;4.260,00;3.860,00;922,00;3.474,00;0,00;0,00;0,00;0,00;2.000,00;0,00;1.627,00
23;de_Polpa de uva;Polpa de uva;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;890.562,00;1.350.672,00;1.006.000,00;1.083.202,00;1.188.260,00;1.352.417,00;1.951.606,00;2.480.120,00;2.797.665,00;1.742.152,00;2.484.000,00;2.371.140,00;1.620.430,00;2.507.125,00;2.112.683,00;1.480.269,00;1.803.472,00;1.180.578,00;387.886,00;1.388.251,00
24;de_Mosto simples;Mosto simples;7.170.736,00;7.646.774,00;6.051.822,00;21.779.327,00;41.346.735,00;48.185.206,00;18.220.527,00;22.097.156,00;40.052.456,00;34.318.456,00;37.553.414,00;48.762.185,00;37.506.770,00;27.314.628,00;17.331.744,00;10.637.557,00;7.031.320,00;7.821.040,00;16.544.460,00;8.141.100,00;13.307.690,00;17.407.568,00;27.491.540,00;17.218.000,00;10.972.700,00;20.917.600,00;12.111.372,00;19.066.000,00;11.046.570,00;14.359.734,00;16.192.018,00;6.977.231,00;12.875.000,00;13.172.480,00;26.067.525,00;22.429.791,00;25.903.812,00;37.558.010,00;53.683.415,00;53.418.555,00;45.912.040,00;77.285.998,00;93.341.575,00;58.517.506,00;57.582.195,00;100.911.592,00;49.770.993,00;101.010.116,00;88.910.980,00;135.614.344,00;80.355.474,00;153.579.926,00;126.048.241,00;157.848.983,00
25;de_Mosto concentrado;Mosto concentrado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;354.707,00;295.800,00;400.500,00;384.200,00;732.470,00;1.098.250,00;921.400,00;288.900,00;355.100,00;335.500,00;265.000,00;292.000,00;490.000,00;381.000,00;411.354,00;0,00;0,00;0,00;0,00;0,00;83.116,00;0,00;110.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
26;de_Mosto de uva com bagaço;Mosto de uva com bagaço;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.037.600,00;0,00;0,00;0,00;0,00;0,00;772.110,00;0,00;645.816,00;3.078.256,00;618.764,00;0,00;7.784,00
27;de_Mosto dessulfitado;Mosto dessulfitado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00;5.000,00;1.532.000,00;0,00;0,00
28;de_Mistelas;Mistelas;1.072.100,00;818.400,00;871.200,00;512.900,00;826.300,00;223.000,00;205.500,00;553.200,00;242.150,00;60.300,00;0,00;0,00;0,00;0,00;0,00;0,00;378.400,00;402.600,00;196.000,00;32.000,00;149.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33.000,00;15.000,00;0,00;5.500,00;11.500,00;9.960,00;0,00;1.900,00;2.000,00;3.500,00;0,00;0,00;200,00;2.500,00;1.000,00;0,00;0,00;1.500,00;2.000,00;3.000,00;0,00;2.500,00;0,00;600,00
29;de_Néctar de uva;Néctar de uva;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10.000,00;1.140,00;1.000,00;0,00;3.000,00;0,00;32.519,00;46.000,00;18.187,00;0,00;70.976,00
30;de_Licorosos;Licorosos;282.500,00;270.000,00;254.600,00;176.500,00;135.000,00;24.000,00;4.400,00;525.000,00;479.971,00;34.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.000,00;20.000,00;24.300,00;11.500,00;7.800,00;0,00;0,00;0,00;0,00;0,00;0,00;44.740,00;21.000,00;4.000,00;0,00;34.420,00;0,00;0,00;0,00;0,00;0,00;38.000,00;0,00;0,00;26.775,00;0,00;0,00;0,00;0,00;110.820,00;0,00;0,00;0,00;0,00;0,00;0,00
