id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
11;ti_Cabernet Sauvignon;Cabernet Sauvignon;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.700,00;46.979,00;149.527,00;539.711,00;827.942,00;1.980.401,00;2.750.321,00;2.951.138,00;3.028.297,00;3.867.213,00;4.918.761,00;5.219.793,00;4.169.965,00;3.993.137,00;4.936.654,00;3.564.802,00;4.490.054,00;4.591.561,00;3.833.890,00;4.752.282,00;6.043.710,00;10.980.458,00;12.821.241,00;12.063.009,00;14.489.153,00;16.646.632,00;13.229.864,00;6.617.553,00;13.039.126,00;11.355.820,00;10.651.084,00;8.556.337,00;7.426.634,00;3.877.852,00;7.242.258,00;6.004.627,00;0;5.889.427,00;1.857.999,00;0;5.917.172,94
12;ti_ Caladoc;Caladoc;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,00;1.100,00;0,00;0,00;0,00;0,00;0,00;2.480,00;3.300,00;4.000,00;2.180,00;8.500,00;4.740,00;0;5.230,00;108.600,00;0;8.310,00
13;ti_Campanario;Campanario;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;910,00;1.660,00;845,00;1.090,00;2.900,00;1.920,00;0,00;0,00;0,00;0,00;0,00;0,00;17.045,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
14;ti_Canaiolo;Canaiolo;596.766,00;607.921,00;552.841,00;257.854,00;372.657,00;730.961,00;300.405,00;467.572,00;423.578,00;987.080,00;475.017,00;701.411,00;812.569,00;403.013,00;345.227,00;455.665,00;271.645,00;139.047,00;266.265,00;182.381,00;131.742,00;218.689,00;222.229,00;35.348,00;29.646,00;16.364,00;11.404,00;2.095,00;1.354,00;1.961,00;4.927,00;47.142,00;500,00;170,00;2.299,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
15;ti_Carignan;Carignan;0,00;11.796,00;7.537,00;5.693,00;4.535,00;0,00;0,00;0,00;3.231,00;2.621,00;0,00;0,00;406,00;463,00;546,00;1.733,00;1.508,00;359,00;128.366,00;0,00;0,00;48.657,00;0,00;0,00;15.582,00;5.784,00;10.777,00;176,00;0,00;0,00;0,00;20.838,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
16;ti_Carmenere;Carmenere;1.235,00;18.288,00;22.154,00;4.150,00;33.114,00;54.120,00;35.879,00;96.442,00;149.018,00;100.811,00;70.779,00;132.650,00;102.813,00;19.499,00;123.660,00;89.699,00;61.422,00;41.224,00;35.458,00;15.236,00;55.499,00;23.812,00;8.743,00;3.393,00;1.748,00;10.722,00;878,00;11.115,00;10.100,00;15.050,00;26.460,00;4.120,00;49.380,00;131.949,00;265.819,00;386.202,00;234.940,00;328.254,00;223.269,00;130.269,00;85.264,00;50.125,00;48.990,00;44.414,00;66.632,00;134.180,00;87.402,00;69.275,00;241.808,00;0;184.268,00;76.625,00;0;14.359,80
17;ti_Castelão;Castelão;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;468,00;494,00;494,00;487,00;23.252,00;16.240,00;16.230,00;26.790,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
18;ti_Corvina;Corvina;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;710,00;680,00;100,00;1.110,00;1.200,00;1.382,00;1.406,00;1.397,00;419,00;1.890,00;0,00;0;2.220,00;69.910,00;0;2.200,00
19;ti_Croatina;Croatina;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;800,00;760,00;3.012,00;4.700,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
20;ti_Cinsaut;Cinsaut;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.148,00;6.229,00;11.047,00;13.522,00;7.195,00;2.446,00;5.871,00;22.362,00;24.663,00;27.386,00;17.020,00;13.230,00;17.745,00;18.060,00;9.500,00;243.012,00;6.000,00;5.700,00;14.800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.430,00;0,00;0;0,00;0,00;0;0,00
