id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
45;br_DonaZilla;Dona Zilla;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;89.841,00;251.529,00;83.222,00;105.665,00;51.939,00;46.844,00;13.660,00;57.310,00;29.246,00;44.650,00;35.708,00;29.190,00;23.770,00;15.330,00;12.325,00;34.170,00;7.890,00;19.110,00;15.370,00;0;12.610,00;10.610,00;0;24.890,00
46;br_DutChess;Dut Chess;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16.342,00;15.706,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
47;br_Goethe;Goethe;311.458,00;267.549,00;472.553,00;113.941,00;371.399,00;280.190,00;228.609,00;20.404,00;347.450,00;70.345,00;16.057,00;72.134,00;68.360,00;130.894,00;169.402,00;301.062,00;363.437,00;178.750,00;433.377,00;328.972,00;472.611,00;431.040,00;74.765,00;76.160,00;361.587,00;47.140,00;341.189,00;337.063,00;322.158,00;318.742,00;501.930,00;379.003,00;463.452,00;246.111,00;514.160,00;522.887,00;491.419,00;791.379,00;324.838,00;480.376,00;473.521,00;414.977,00;776.322,00;469.138,00;346.269,00;481.443,00;179.216,00;248.470,00;475.568,00;0;358.137,00;104.596.918,00;0;269.143,00
48;br_IAC;IAC;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;650,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
49;br_Juliana;Juliana;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.000,00;15.380,00;4.060,00;1.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
50;br_Martha;Martha;15.045,00;21.972,00;14.716,00;5.126,00;17.486,00;13.578,00;1.108,00;921,00;10.749,00;7.396,00;980,00;1.041,00;3.567,00;1.920,00;16.321,00;9.096,00;1.155,00;3.200,00;5.482,00;8.930,00;4.001,00;1.449,00;2.100,00;0,00;0,00;4.454,00;995,00;9.311,00;4.307,00;5.128,00;10.397,00;16.353,00;15.890,00;8.845,00;17.610,00;10.060,00;9.302,00;6.038,00;6.586,00;6.433,00;11.329,00;3.060,00;22.321,00;5.642,00;3.050,00;12.334,00;0,00;6.150,00;7.040,00;0;6.130,00;113.040,00;0;1.380,00
51;br_Mistura de uvas americanas;Mistura de uvas americanas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;1.856,00;0;42.550,00
52;br_MoscatoEmbrapa;Moscato Embrapa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;51.522,00;73.931,00;875.554,00;1.149.812,00;1.445.602,00;2.328.928,00;2.813.056,00;4.274.628,00;6.621.952,00;8.598.555,00;11.229.449,00;8.594.684,00;11.200.409,00;11.303.572,00;11.763.335,00;11.902.554,00;11.248.259,00;6.173.966,00;11.771.138,00;9.535.525,00;0;7.836.758,00;5.747.131,00;0;8.790.794,00
53;br_Niagara;Niagara;631.152,00;239.017,00;253.262,00;112.917,00;2.476.453,00;2.409.319,00;1.035.298,00;2.468.965,00;3.239.522,00;3.589.475,00;4.030.127,00;6.714.199,00;9.863.766,00;4.496.756,00;8.308.736,00;14.685.699,00;9.191.120,00;12.590.860,00;18.884.834,00;17.211.883,00;20.800.524,00;17.234.514,00;12.657.729,00;21.246.181,00;21.892.480,00;22.138.607,00;14.560.449,00;30.382.883,00;16.338.939,00;1.467.529,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
54;br_NiagaraBranca;Niagara Branca;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;245.263,00;0,00;0,00;0,00;0,00;94.323,00;0,00;15.406,00;0,00;0,00;26.743.235,00;29.969.046,00;34.145.485,00;36.195.634,00;31.185.522,00;41.747.941,00;37.394.435,00;32.398.672,00;33.749.294,00;43.629.972,00;30.822.840,00;35.971.072,00;47.581.756,00;47.325.170,00;37.574.776,00;27.973.518,00;50.329.681,00;12.925.747,00;30.802.497,00;42.948.315,00;0;28.672.956,00;5.574.368,00;0;23.148.433,00
55;br_NiagaraRosada;Niagara Rosada;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;118.763,00;477.502,00;245.082,00;388.417,00;919.565,00;1.552.087,00;1.454.485,00;1.391.996,00;6.321.306,00;4.312.102,00;5.387.168,00;10.125.596,00;16.150.486,00;10.417.448,00;9.527.834,00;12.632.861,00;12.605.714,00;8.736.346,00;10.383.783,00;14.753.481,00;9.975.809,00;12.553.768,00;14.831.369,00;14.040.879,00;10.312.310,00;9.552.430,00;15.706.093,00;4.236.495,00;11.464.265,00;12.308.714,00;0;8.740.991,00;2.170.241,00;0;14.987.968,00
56;br_Poloske;Poloske;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.250,00;12.100,00;11.180,00;0;14.191,00;402.953,00;0;55.493,00
57;br_Selecoes;Selecoes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.360,00;5.370,00;4.280,00;0,00;0,00;2.022,00;0,00;0,00;0,00;1.500,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
58;br_SeyveVillard;Seyve Villard;0,00;0,00;145.444,00;0,00;0,00;11.830,00;0,00;84.230,00;182.406,00;1.099.552,00;294.858,00;620.207,00;3.756.931,00;4.095.059,00;5.284.971,00;5.234.899,00;3.649.876,00;2.777.664,00;5.881.237,00;4.991.879,00;4.182.609,00;2.813.847,00;3.066.943,00;3.360.192,00;2.818.418,00;3.092.325,00;2.311.312,00;0,00;1.564.884,00;1.741.794,00;982.857,00;726.630,00;423.282,00;994.378,00;1.029.919,00;952.715,00;915.917,00;1.139.845,00;1.156.969,00;1.094.276,00;873.170,00;1.007.735,00;839.003,00;781.787,00;700.473,00;657.086,00;312.824,00;586.955,00;462.683,00;0;313.488,00;0,00;0;0,00
59;br_SeyveVillard5276;Seyve Villard 5276;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;661.492,00;494.908,00;260.294,00;406.600,00;449.229,00;305.108,00;242.528,00;242.415,00;151.456,00;180.410,00;107.521,00;91.960,00;60.000,00;206.295,00;139.575,00;0;57.423,00;97.368,00;0;105.771,00
60;br_SeyveVillard12375;Seyve Villard 12375;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;117.279,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;154.343,00;0,00;0,00;2.219.710,00;63.233,00;426.691,00;1.447.387,00;936.740,00;867.152,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;61.942,00;0;329.582,00
61;br_TardiadeCaxias;Tardia de Caxias;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.735,00;19.580,00;23.276,00;11.345,00;12.420,00;10.383,00;40.003,00;15.971,00;8.437,00;21.921,00;27.285,00;28.853,00;13.430,00;14.890,00;17.711,00;3.440,00;6.170,00;5.380,00;0;8.150,00;33.870,00;0;0,00
62;br_Outras;Outras(2);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49.576,00;17.180,00;0,00;338.394,00;57.504,00;15.682,00;68.967,00;711.372,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
