id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
29;ti_BRS Núbia ;BRS Núbia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;+;57.060,00
11;ti_BRS Rúbia;BRS Rúbia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.716,00;32.167,00;68.948,00;74.254,00;230.237,00;308.905,00;366.671,00;605.247,00;785.389,00;718.461,00;876.076,00;1.333.903,00;1.332.139,00;1.478.269,00;1.731.895,00;2.034.788,00;1.637.818,00;2.529.215,00;2.658.828,00;0;1.476.672,00;191.970,00;0;3.311.843,00
12;ti_BRSVioleta;BRS Violeta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.296,00;132.764,00;979.695,00;2.404.076,00;4.009.589,00;3.561.414,00;6.489.062,00;8.295.873,00;5.749.538,00;14.432.937,00;13.645.751,00;0;8.318.514,00;15.601.302,00;0;15.657.282,00
13;ti_BRS Vitória;BRS Vitória;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;125.731,00;0;8.820,00
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.905,00;26.979,00;23.144,00;5.643,00;10.848,00;7.130,00;0,00;17.498,00;6.000,00;4.351,00;3.138,00;106,00;980,00;0,00;0,00;4.640,00;0,00;0;0,00;0,00;0;0,00
16;ti_Colecoes;Colecoes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;490,00;0,00;5.386,00;10.905,00;13.311,00;30.942,00;27.400,00;27.109,00;11.624,00;33.408,00;39.806,00;34.072,00;47.882,00;44.847,00;0,00;4.324,00;1.140,00;0;0,00;0,00;0;0,00
17;ti_Concord;Concord;5.407.624,00;3.726.469,00;2.262.221,00;1.850.704,00;5.218.933,00;7.361.018,00;6.140.559,00;7.387.125,00;8.520.060,00;9.016.712,00;5.640.991,00;10.751.352,00;11.470.646,00;6.864.134,00;8.550.370,00;17.270.192,00;8.864.661,00;11.047.563,00;16.295.035,00;12.222.671,00;15.417.034,00;14.941.796,00;14.188.621,00;19.215.089,00;21.325.339,00;19.710.821,00;16.894.753,00;25.314.872,00;21.850.423,00;21.225.797,00;30.977.892,00;32.948.855,00;34.686.034,00;27.455.055,00;36.107.207,00;37.460.265,00;26.526.274,00;25.732.390,00;44.291.027,00;39.227.727,00;41.446.763,00;44.201.322,00;44.395.218,00;34.237.661,00;30.755.828,00;39.180.980,00;15.254.862,00;36.172.976,00;31.971.535,00;0;9.984.266,00;367.793,00;0;25.091.503,00
18;ti_Concordclone30;Concord clone 30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;942.685,00;1.720.732,00;2.745.160,00;2.326.774,00;2.923.699,00;4.293.636,00;1.770.853,00;4.676.208,00;4.809.154,00;0;1.406.305,00;621.693,00;0;5.491.777,00
19;ti_Couderc;Couderc;2.713.692,00;2.835.642,00;2.550.812,00;2.602.220,00;5.057.735,00;4.052.782,00;4.084.126,00;4.214.237,00;4.406.881,00;5.113.513,00;4.431.263,00;4.779.453,00;6.234.132,00;4.643.069,00;5.544.207,00;7.341.937,00;5.474.248,00;6.244.818,00;6.141.396,00;8.457.905,00;6.959.591,00;5.270.323,00;6.545.413,00;7.880.808,00;10.306.977,00;8.015.634,00;8.736.532,00;10.236.308,00;9.098.481,00;15.235.782,00;18.482.712,00;17.623.308,00;20.199.921,00;22.395.538,00;30.938.797,00;25.596.933,00;23.869.435,00;32.652.378,00;33.179.502,00;29.388.964,00;24.092.319,00;35.686.727,00;27.237.702,00;26.722.044,00;30.181.906,00;27.693.447,00;17.522.126,00;31.791.586,00;25.797.806,00;0;16.974.342,00;54.081.578,00;0;23.121.275,00
20;ti_Cynthiana(1);Cynthiana(1);568.653,00;419.550,00;535.172,00;360.571,00;605.039,00;544.666,00;351.881,00;738.472,00;491.780,00;414.158,00;285.705,00;388.118,00;400.575,00;172.523,00;553.285,00;467.677,00;304.481,00;286.589,00;397.685,00;327.562,00;342.604,00;221.319,00;321.747,00;394.647,00;304.456,00;368.619,00;415.262,00;470.750,00;292.590,00;501.809,00;655.439,00;788.473,00;741.160,00;809.515,00;1.093.197,00;977.034,00;932.587,00;1.705.777,00;1.220.666,00;1.279.382,00;1.151.540,00;1.249.033,00;1.492.979,00;1.290.743,00;1.490.695,00;1.596.711,00;694.778,00;2.083.008,00;1.200.824,00;0;1.084.022,00;7.346.675,00;0;1.186.253,00
21;ti_Herbemont;Herbemont;62.053.013,00;43.864.620,00;45.765.536,00;33.214.347,00;65.865.189,00;48.754.240,00;41.938.949,00;53.226.940,00;46.594.020,00;60.116.742,00;31.377.059,00;48.717.399,00;48.220.049,00;26.085.982,00;44.313.715,00;47.677.634,00;29.438.543,00;29.335.178,00;46.197.631,00;29.443.570,00;33.234.026,00;24.856.167,00;29.784.144,00;25.696.041,00;29.001.540,00;31.362.294,00;21.055.147,00;24.288.342,00;17.315.058,00;25.009.687,00;25.932.525,00;17.762.997,00;15.343.264,00;17.060.345,00;18.289.740,00;14.772.530,00;11.490.495,00;18.204.806,00;11.962.083,00;10.968.175,00;7.598.565,00;8.954.135,00;7.246.411,00;6.142.005,00;4.045.612,00;3.282.683,00;1.013.198,00;3.642.399,00;1.325.593,00;0;1.131.251,00;14.846.723,00;0;1.417.502,00
22;ti_IAC138022;IAC 138022;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;508.580,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
23;ti_Isabel;Isabel;193.840.398,00;126.754.464,00;120.365.492,00;109.787.700,00;191.946.376,00;193.394.592,00;146.746.340,00;175.906.184,00;202.315.021,00;195.149.198,00;129.236.559,00;191.757.135,00;237.185.186,00;108.170.744,00;166.802.020,00;261.311.720,00;148.440.133,00;140.066.153,00;235.678.802,00;159.406.823,00;210.877.130,00;132.328.198,00;164.527.740,00;160.040.350,00;176.725.596,00;199.803.720,00;137.107.664,00;162.509.173,00;143.410.394,00;195.025.199,00;237.507.385,00;188.547.951,00;211.737.269,00;151.317.201,00;245.112.515,00;185.966.788,00;163.125.701,00;228.558.808,00;236.664.733,00;199.729.598,00;198.927.893,00;244.626.313,00;262.942.020,00;232.518.530,00;228.517.859,00;256.440.505,00;98.302.381,00;262.423.174,00;216.921.065,00;0;152.414.695,00;125.664.882,00;0;176.590.596,00
24;ti_IsabelPrecoce;Isabel Precoce;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.140,00;86.037,00;576.083,00;1.632.808,00;5.427.981,00;7.687.712,00;11.743.388,00;11.467.561,00;12.806.674,00;15.254.220,00;7.167.904,00;20.028.520,00;17.435.326,00;0;12.098.037,00;12.814.595,00;0;17.956.434,00
25;ti_Jacquez;Jacquez;390.593,00;203.081,00;278.191,00;302.686,00;847.092,00;513.846,00;495.973,00;681.039,00;578.872,00;657.846,00;422.025,00;553.100,00;796.363,00;427.037,00;807.228,00;883.337,00;608.629,00;532.204,00;841.551,00;804.883,00;995.409,00;1.687.679,00;1.586.195,00;1.511.782,00;4.133.466,00;1.662.439,00;1.817.283,00;1.913.297,00;2.221.138,00;1.735.671,00;0,00;0,00;24.008.333,00;20.945.416,00;31.496.317,00;20.571.911,00;21.500.205,00;32.478.164,00;23.447.261,00;24.273.653,00;26.557.467,00;30.223.434,00;24.572.149,00;24.997.428,00;24.345.429,00;24.330.422,00;11.518.368,00;31.404.577,00;18.221.292,00;0;8.913.460,00;17.862.770,00;0;12.749.029,00
26;ti_Kyoko;Kyoko;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.395,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
27;ti_La0ot;La0ot;134.384,00;106.917,00;63.740,00;80.995,00;103.456,00;104.110,00;87.904,00;62.198,00;44.974,00;39.884,00;36.680,00;38.773,00;30.617,00;10.195,00;8.774,00;21.485,00;5.953,00;3.078,00;8.728,00;2.005,00;3.243,00;5.831,00;1.472,00;575,00;1.760,00;935,00;0,00;0,00;0,00;0,00;223,00;1.585,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
28;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;8.617,00;0;346.747,00
29;ti_Oberlin;Oberlin;15.682,00;34.722,00;11.136,00;9.483,00;47.350,00;17.264,00;10.611,00;22.059,00;13.670,00;6.207,00;1.042,00;3.428,00;5.723,00;767,00;0,00;177,00;4.770,00;85,00;460,00;276,00;91,00;0,00;0,00;0,00;62,00;0,00;0,00;0,00;2.826,00;0,00;4.380,00;0,00;2.610,00;2.230,00;4.470,00;2.855,00;952,00;3.060,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
30;ti_Othello;Othello;33.013,00;106.190,00;34.525,00;17.358,00;54.730,00;53.172,00;77.044,00;46.765,00;59.623,00;3.638,00;37.273,00;25.750,00;37.730,00;10.513,00;0,00;4.862,00;4.488,00;3.295,00;91.992,00;72.780,00;57.552,00;50.940,00;37.109,00;65.870,00;70.019,00;43.847,00;25.953,00;31.225,00;55.456,00;70.987,00;80.659,00;155.060,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
31;ti_Paco;Paco;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;7.380,00;0,00;0;15.300,00
32;ti_Patricia;Patricia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14.864,00;20.310,00;38.018,00;50.848,00;20.380,00;7.085,00;5.885,00;3.015,00;3.575,00;930,00;2.890,00;0,00;1.300,00;1.401,00;0;0,00;0,00;0;0,00
